clip_id,frame_id,timestamp,frame_path
ep01_clip_0000,frame_00001,0.48,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\00_t000.480_f12.jpg
ep01_clip_0000,frame_00002,3.36,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\01_t003.360_f84.jpg
ep01_clip_0000,frame_00003,4.8,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\02_t004.800_f120.jpg
ep01_clip_0000,frame_00004,6.24,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\03_t006.240_f156.jpg
ep01_clip_0000,frame_00005,8.64,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\04_t008.640_f216.jpg
ep01_clip_0000,frame_00006,10.56,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\05_t010.560_f264.jpg
ep01_clip_0000,frame_00007,12.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\06_t012.000_f300.jpg
ep01_clip_0000,frame_00013,13.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\ep01_clip_0000_contact_sheet.jpg
ep01_clip_0000,frame_00008,13.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\07_t013.440_f336.jpg
ep01_clip_0000,frame_00009,14.88,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\08_t014.880_f372.jpg
ep01_clip_0000,frame_00010,16.32,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\09_t016.320_f408.jpg
ep01_clip_0000,frame_00011,18.72,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\10_t018.720_f468.jpg
ep01_clip_0000,frame_00012,21.12,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0000\11_t021.120_f528.jpg
ep01_clip_0001,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\00_t000.000_f0.jpg
ep01_clip_0001,frame_00002,1.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\01_t001.440_f36.jpg
ep01_clip_0001,frame_00003,2.88,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\02_t002.880_f72.jpg
ep01_clip_0001,frame_00004,5.76,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\03_t005.760_f144.jpg
ep01_clip_0001,frame_00005,9.12,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\04_t009.120_f228.jpg
ep01_clip_0001,frame_00006,11.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\05_t011.040_f276.jpg
ep01_clip_0001,frame_00007,12.96,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\06_t012.960_f324.jpg
ep01_clip_0001,frame_00013,13.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\ep01_clip_0001_contact_sheet.jpg
ep01_clip_0001,frame_00008,14.4,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\07_t014.400_f360.jpg
ep01_clip_0001,frame_00009,15.84,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\08_t015.840_f396.jpg
ep01_clip_0001,frame_00010,17.28,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\09_t017.280_f432.jpg
ep01_clip_0001,frame_00011,18.72,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\10_t018.720_f468.jpg
ep01_clip_0001,frame_00012,21.12,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0001\11_t021.120_f528.jpg
ep01_clip_0002,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\00_t000.000_f0.jpg
ep01_clip_0002,frame_00002,1.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\01_t001.440_f36.jpg
ep01_clip_0002,frame_00003,3.84,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\02_t003.840_f96.jpg
ep01_clip_0002,frame_00004,5.28,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\03_t005.280_f132.jpg
ep01_clip_0002,frame_00005,6.72,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\04_t006.720_f168.jpg
ep01_clip_0002,frame_00006,9.12,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\05_t009.120_f228.jpg
ep01_clip_0002,frame_00007,9.6,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\06_t009.600_f240.jpg
ep01_clip_0002,frame_00008,11.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\07_t011.040_f276.jpg
ep01_clip_0002,frame_00009,12.96,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\08_t012.960_f324.jpg
ep01_clip_0002,frame_00013,13.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\ep01_clip_0002_contact_sheet.jpg
ep01_clip_0002,frame_00010,14.88,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\09_t014.880_f372.jpg
ep01_clip_0002,frame_00011,16.32,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\10_t016.320_f408.jpg
ep01_clip_0002,frame_00012,17.76,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0002\11_t017.760_f444.jpg
ep01_clip_0003,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\00_t000.000_f0.jpg
ep01_clip_0003,frame_00002,1.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\01_t001.440_f36.jpg
ep01_clip_0003,frame_00003,2.88,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\02_t002.880_f72.jpg
ep01_clip_0003,frame_00004,5.28,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\03_t005.280_f132.jpg
ep01_clip_0003,frame_00005,7.2,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\04_t007.200_f180.jpg
ep01_clip_0003,frame_00006,9.6,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\05_t009.600_f240.jpg
ep01_clip_0003,frame_00007,11.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\06_t011.040_f276.jpg
ep01_clip_0003,frame_00008,12.48,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\07_t012.480_f312.jpg
ep01_clip_0003,frame_00013,13.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\ep01_clip_0003_contact_sheet.jpg
ep01_clip_0003,frame_00009,13.92,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\08_t013.920_f348.jpg
ep01_clip_0003,frame_00010,15.36,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\09_t015.360_f384.jpg
ep01_clip_0003,frame_00011,16.8,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\10_t016.800_f420.jpg
ep01_clip_0003,frame_00012,19.2,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0003\11_t019.200_f480.jpg
ep01_clip_0004,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0004\00_t000.000_f0.jpg
ep01_clip_0004,frame_00002,1.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0004\01_t001.440_f36.jpg
ep01_clip_0004,frame_00003,2.88,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0004\02_t002.880_f72.jpg
ep01_clip_0004,frame_00004,5.28,D:\projects\VideoThinker-R1-3B\evaluation\runs\improved_keyframes\ep01_clip_0004\03_t005.280_f132.jpg
